gene_name,tumor_samples_count,normal_samples_count,avg(tumor),avg(normal),avg(tumor)/avg(normal),avg(tumor)=0_count,avg(normal)=0_count
AVPR2,497,52,4.00885613682,4.25726346154,0.9416509391627436,1,0
RFX7,497,52,8.59249839034,8.88037307692,0.9675830413781705,0,0
NRXN3,497,52,6.84008430584,8.43463269231,0.8109522436078458,0,0
GPR77,497,52,1.46220905433,1.61399615385,0.9059557241456307,39,7
NRXN1,497,52,4.8163,6.56121153846,0.7340565034014002,0,0
RFX3,497,52,6.51506820926,5.94482884615,1.0959219142987804,0,0
SNORD104,497,52,0.0,0.0,n/a,497,52
RFPL2,497,52,7.27751690141,7.43675576923,0.9785875894323218,0,0
VPS37D,497,52,6.41878571429,6.57690192308,0.9759588616889038,0,0
NLRP13,497,52,1.02161428571,0.213265384615,4.790342734507644,162,39
APC,497,52,9.22598430584,9.58643461538,0.9623999616112602,0,0
TMEM179B,497,52,10.5704046278,10.4090538462,1.015501003645242,0,0
ABCE1,497,52,10.2558350101,10.0394019231,1.0215583645959965,0,0
